RGB(247.031,7.96875,0)
RGB(231.094,23.9062,0)
RGB(215.156,39.8438,0)
RGB(199.219,55.7812,0)
RGB(183.281,71.7188,0)
RGB(167.344,87.6562,0)
RGB(151.406,103.594,0)
RGB(135.469,119.531,0)
RGB(119.531,135.469,0)
RGB(103.594,151.406,0)
RGB(87.6562,167.344,0)
RGB(71.7188,183.281,0)
RGB(55.7812,199.219,0)
RGB(39.8438,215.156,0)
RGB(23.9062,231.094,0)
RGB(7.96875,247.031,0)
RGB(0,247.031,7.96875)
RGB(0,231.094,23.9062)
RGB(0,215.156,39.8438)
RGB(0,199.219,55.7812)
RGB(0,183.281,71.7188)
RGB(0,167.344,87.6562)
RGB(0,151.406,103.594)
RGB(0,135.469,119.531)
RGB(0,119.531,135.469)
RGB(0,103.594,151.406)
RGB(0,87.6562,167.344)
RGB(0,71.7188,183.281)
RGB(0,55.7812,199.219)
RGB(0,39.8438,215.156)
RGB(0,23.9062,231.094)
RGB(0,7.96875,247.031)
